SW Version,2013.2.0
GT Type,7 Series GTX
Date and Time Started, May. 25 2015 11:26:53 AM
Date and Time Ended, May. 25 2015 11:27:00 AM
Scan Name,Ch0_viv.csv
Settings,
Open Area,N/A
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,4
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,4
Vertical Range,100%
Scan Start
2d statistical,-32,-28,-24,-20,-16,-12,-8,-4,0,4,8,12,16,20,24,28,32
124,1.80E-01,1.93E-01,2.03E-01,2.22E-01,2.36E-01,2.47E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.54E-01,2.53E-01,2.54E-01,2.54E-01,2.75E-01,2.79E-01,2.79E-01
120,1.79E-01,1.76E-01,1.73E-01,1.95E-01,2.22E-01,2.31E-01,2.40E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.55E-01,2.79E-01,2.79E-01
116,1.78E-01,1.51E-01,1.36E-01,1.61E-01,1.93E-01,2.20E-01,2.30E-01,2.33E-01,2.52E-01,2.53E-01,2.54E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.76E-01,2.79E-01
112,1.46E-01,1.11E-01,1.06E-01,1.08E-01,1.56E-01,1.77E-01,2.02E-01,2.25E-01,2.32E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.53E-01,2.54E-01,2.60E-01,2.79E-01
108,1.08E-01,1.03E-01,1.03E-01,1.04E-01,1.09E-01,1.41E-01,1.59E-01,1.74E-01,2.17E-01,2.33E-01,2.47E-01,2.46E-01,2.53E-01,2.53E-01,2.53E-01,2.54E-01,2.77E-01
104,1.04E-01,1.02E-01,1.02E-01,1.03E-01,1.04E-01,1.06E-01,1.12E-01,1.34E-01,1.56E-01,2.09E-01,2.24E-01,2.27E-01,2.29E-01,2.38E-01,2.52E-01,2.53E-01,2.54E-01
100,1.04E-01,1.02E-01,1.02E-01,1.02E-01,1.03E-01,1.04E-01,1.05E-01,1.06E-01,1.11E-01,1.43E-01,1.75E-01,1.82E-01,1.99E-01,2.08E-01,2.31E-01,2.41E-01,2.53E-01
96,1.07E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.03E-01,1.04E-01,1.04E-01,1.05E-01,1.06E-01,1.12E-01,1.36E-01,1.56E-01,1.86E-01,2.09E-01,2.31E-01,2.33E-01
92,1.09E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.02E-01,1.04E-01,1.04E-01,1.04E-01,1.05E-01,1.06E-01,1.13E-01,1.41E-01,1.66E-01,2.07E-01,2.29E-01,2.31E-01
88,1.08E-01,9.76E-02,9.10E-02,9.77E-02,1.02E-01,1.02E-01,1.02E-01,1.03E-01,1.04E-01,1.04E-01,1.04E-01,1.06E-01,1.21E-01,1.53E-01,1.82E-01,2.16E-01,2.30E-01
84,9.11E-02,6.05E-02,5.32E-02,6.08E-02,8.94E-02,9.19E-02,9.84E-02,1.01E-01,1.03E-01,1.04E-01,1.04E-01,1.05E-01,1.10E-01,1.38E-01,1.70E-01,2.07E-01,2.30E-01
80,7.52E-02,4.58E-02,3.83E-02,4.86E-02,5.20E-02,6.83E-02,7.82E-02,8.08E-02,9.49E-02,1.02E-01,1.04E-01,1.04E-01,1.05E-01,1.26E-01,1.60E-01,1.94E-01,2.29E-01
76,6.92E-02,2.59E-02,2.49E-02,2.55E-02,3.00E-02,3.16E-02,4.34E-02,5.15E-02,6.91E-02,8.14E-02,9.48E-02,8.98E-02,9.17E-02,9.70E-02,1.31E-01,1.77E-01,2.07E-01
72,5.63E-02,2.54E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.52E-02,2.76E-02,3.46E-02,5.62E-02,7.00E-02,7.57E-02,7.68E-02,8.02E-02,1.12E-01,1.58E-01,2.02E-01
68,6.32E-02,2.59E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.58E-02,3.47E-02,4.90E-02,6.36E-02,7.32E-02,1.01E-01,1.39E-01,1.68E-01
64,7.07E-02,2.66E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.49E-02,2.54E-02,3.58E-02,5.15E-02,7.49E-02,1.14E-01,1.54E-01
60,7.71E-02,2.75E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.49E-02,2.75E-02,4.68E-02,6.58E-02,9.25E-02,1.34E-01
56,8.97E-02,2.94E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.51E-02,3.59E-02,5.83E-02,8.20E-02,1.26E-01
52,1.01E-01,3.10E-02,2.29E-02,2.47E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.49E-02,2.90E-02,5.20E-02,7.77E-02,1.24E-01
48,1.07E-01,2.25E-02,6.15E-03,1.60E-02,2.43E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.58E-02,4.40E-02,7.54E-02,1.19E-01
44,1.02E-01,1.42E-02,1.19E-03,2.22E-03,1.01E-02,2.00E-02,2.41E-02,2.20E-02,2.47E-02,2.48E-02,2.48E-02,2.48E-02,2.48E-02,2.50E-02,3.68E-02,7.27E-02,1.13E-01
40,1.11E-01,1.79E-02,2.20E-04,8.63E-04,1.64E-03,2.82E-03,4.24E-03,5.13E-03,9.91E-03,2.34E-02,2.46E-02,2.48E-02,2.47E-02,2.45E-02,3.10E-02,6.74E-02,1.07E-01
36,1.19E-01,2.37E-02,1.72E-04,7.42E-05,7.70E-04,1.39E-03,1.63E-03,1.56E-03,1.80E-03,6.12E-03,1.53E-02,2.05E-02,1.70E-02,1.46E-02,1.94E-02,5.92E-02,1.00E-01
32,1.26E-01,3.09E-02,3.06E-04,3.81E-07,5.00E-05,3.23E-04,5.39E-04,4.47E-04,7.85E-04,1.66E-03,1.93E-03,2.89E-03,3.09E-03,3.00E-03,4.47E-03,3.33E-02,8.69E-02
28,1.32E-01,3.60E-02,5.33E-04,3.58E-08,3.22E-07,1.44E-05,3.69E-05,4.01E-05,9.49E-05,3.97E-04,1.34E-03,1.57E-03,1.60E-03,1.34E-03,1.90E-03,2.16E-02,7.09E-02
24,1.39E-01,4.56E-02,9.77E-04,1.07E-07,1.19E-08,1.19E-08,1.19E-08,2.38E-08,2.38E-08,2.27E-07,3.34E-05,8.91E-05,1.72E-04,1.22E-04,2.61E-04,1.23E-02,6.42E-02
20,1.46E-01,5.68E-02,1.51E-03,5.25E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,5.96E-08,2.13E-06,3.40E-06,3.77E-06,6.89E-05,7.23E-03,6.15E-02
16,1.51E-01,6.57E-02,2.28E-03,6.20E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,7.75E-07,2.71E-06,2.92E-06,3.14E-05,4.00E-03,6.08E-02
12,1.56E-01,7.36E-02,3.45E-03,1.67E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.91E-07,2.22E-06,2.86E-06,1.55E-05,2.36E-03,5.96E-02
8,1.63E-01,8.27E-02,5.03E-03,3.81E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.34E-06,2.85E-06,8.24E-06,1.30E-03,5.75E-02
4,1.68E-01,9.21E-02,7.55E-03,8.25E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,5.01E-07,2.53E-06,4.77E-06,7.69E-04,5.57E-02
0,1.74E-01,9.90E-02,1.08E-02,1.07E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.31E-07,2.25E-06,3.73E-06,5.00E-04,5.23E-02
-4,1.91E-01,1.19E-01,2.90E-02,2.29E-04,2.38E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.50E-07,2.36E-06,6.41E-04,4.32E-02
-8,1.96E-01,1.24E-01,3.68E-02,4.86E-04,3.58E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-07,2.01E-06,1.01E-03,4.14E-02
-12,2.01E-01,1.27E-01,4.85E-02,7.73E-04,1.19E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.07E-07,1.59E-06,1.75E-03,4.17E-02
-16,2.03E-01,1.32E-01,6.00E-02,1.25E-03,4.89E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.38E-08,1.08E-06,2.59E-03,4.35E-02
